ProductName,star,Ratings,Reviews,Current_Price,mrp,Processor,RAM,OS,Storage,ScreenSize
ASUS ROG Strix G15 (2022) Ryzen 7 Octa Core 6800H - (16 GB/1 TB SSD/Windows 11 Home/4 GB Graphics/NVID...,4.6,5,3,₹105990,₹145990,AMD Ryzen 7 Octa Core Processor,16 GB DDR5 RAM,Windows 11 Operating System,1 TB SSD,39.62 cm (15.6 Inch) Display
HP Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15s-fq2627TU Thin and Light Laptop,4.2,466,51,₹41790,₹51506,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display
Lenovo IdeaPad Core i5 11th Gen - (16 GB/512 GB SSD/Windows 11 Home) IdeaPad 5 15ITL05 Thin and Light ...,4.4,8,0,₹64990,₹97890,Intel Core i5 Processor (11th Gen),16 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display
ASUS VivoBook K15 OLED (2021) Core i5 11th Gen - (16 GB/1 TB HDD/256 GB SSD/Windows 10 Home) K513EA-L5...,4.3,415,59,₹64990,₹85990,Intel Core i5 Processor (11th Gen),16 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB HDD|256 GB SSD,39.62 cm (15.6 inch) Display
HP Pavilion x360 Convertible Core i5 11th Gen - (16 GB/512 GB SSD/Windows 11 Home) 14-dy1048TU Thin an...,3.7,13,4,₹72100,₹79000,Intel Core i5 Processor (11th Gen),16 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,35.56 cm (14 inch) Touchscreen Display
HP Pavilion Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 10 Home) 14-ec0035AU Thin and Light Lap...,4.4,495,69,₹52490,₹67931,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD,35.56 cm (14 inch) Display
ASUS Core i5 10th Gen - (8 GB/512 GB SSD/Windows 10/4 GB Graphics) FX506LH-HN258T Laptop,0,0,0,₹59890,₹81990,Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,Windows 10 Operating System,512 GB SSD,39.62 cm (15.6 inch) Display
DELL Inspiron Core i5 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) INSPIRON 3511 Thin and Light Laptop,3.8,13,3,₹56790,₹71578,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,256 GB SSD,39.62 cm (15.6 Inch) Display
HP Pavilion Gaming Core i5 11th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA G...,4.3,198,29,₹66990,₹80699,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB HDD|256 GB SSD,39.62 cm (15.6 inches) Display
ASUS VivoBook K15 OLED (2022) Core i3 11th Gen - (8 GB/256 GB SSD/Windows 10 Home) K513EA-L302TS Thin ...,4.4,1108,201,₹42990,₹58990,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,256 GB SSD,39.62 cm (15.6 inch) Display
Lenovo IdeaPad Flex 5 Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 14ITL05 2 in 1 Laptop,4.4,10,1,₹58990,₹82490,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,35.56 cm (14 Inch) Touchscreen Display
HP Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15s-du3517TU Thin and Light Laptop,4.2,680,64,₹52990,₹70171,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 inch) Display
